provstate,city,attacktype1_txt,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1_txt,weaptype1_txt,weapsubtype1_txt
Sindh,Karachi,Bombing/Explosion,Airports & Aircraft,43,Airline Officer/Personnel,,Air France booking office (in a Holiday Inn),France,Explosives/Bombs/Dynamite,Unknown Explosive Type
Sindh,Karachi,Bombing/Explosion,Airports & Aircraft,43,Airline Officer/Personnel,,Air France cargo office,France,Explosives/Bombs/Dynamite,Unknown Explosive Type
Sindh,Karachi,Bombing/Explosion,Private Citizens & Property,81,Museum/Cultural Center/Cultural House,,Alliance Francise Cultural Center,France,Explosives/Bombs/Dynamite,Unknown Explosive Type
Sindh,Karachi,Bombing/Explosion,Government (Diplomatic),45,"Diplomatic Personnel (outside of embassy, consulate)",,Home of French general consul,France,Explosives/Bombs/Dynamite,Unknown Explosive Type
Punjab,Unknown,Bombing/Explosion,Government (Diplomatic),45,"Diplomatic Personnel (outside of embassy, consulate)",,Home of honorary French consul,France,Explosives/Bombs/Dynamite,Unknown Explosive Type
Sindh,Sukkur,Armed Assault,Police,23,Police Patrol (including vehicles and convoys),,Police van loaded with prisoners,Pakistan,Unknown,.
Sindh,Dadu,Bombing/Explosion,Police,22,"Police Building (headquarters, station, school)",,Office of the support Zia Movement,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Punjab,Lahore,Bombing/Explosion,Private Citizens & Property,79,"Public Area (garden, parking lot, garage, beach, public building, camp)",,In a toilet of city (near a cinema),Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Punjab,Lahore,Bombing/Explosion,Private Citizens & Property,74,Marketplace/Plaza/Square,,Bhatigate Chowk (always crowded),Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Sindh,Karachi,Unknown,Airports & Aircraft,,.,,Indian Airlines,India,Unknown,.
North-West Frontier Province,Peshawar,Bombing/Explosion,Terrorists/Non-State Militia,,.,,Headquarters of Afghan rebel group,Afghanistan,Explosives/Bombs/Dynamite,Vehicle
Federally Administered Tribal Areas,Sadda,Bombing/Explosion,Private Citizens & Property,75,Village/City/Town/Suburb,Afghan refugee populated border town,,Afghanistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Sindh,Karachi,Bombing/Explosion,Airports & Aircraft,43,Airline Officer/Personnel,,Pan American Airline Office,United States,Explosives/Bombs/Dynamite,Unknown Explosive Type
Punjab,Lahore,Bombing/Explosion,Government (General),21,Government Building/Facility/Office,,Information Center,United States,Explosives/Bombs/Dynamite,Unknown Explosive Type
North-West Frontier Province,Gandab,Bombing/Explosion,Religious Figures/Institutions,86,Place of Worship,,Mosque,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Sindh,Karachi,Bombing/Explosion,Business,3,Bank/Commerce,,Holding company,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Sindh,Karachi,Bombing/Explosion,Government (Diplomatic),45,"Diplomatic Personnel (outside of embassy, consulate)",,Iraqi Consul General,Iraq,Explosives/Bombs/Dynamite,Unknown Explosive Type
North-West Frontier Province,Peshawar,Bombing/Explosion,Business,8,Hotel/Resort,,Afghan refugee hostel (Nasir Hotel),Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
North-West Frontier Province,Peshawar,Bombing/Explosion,Airports & Aircraft,43,Airline Officer/Personnel,,Airline ticket office (BA),Great Britain,Explosives/Bombs/Dynamite,Unknown Explosive Type
North-West Frontier Province,Peshawar,Bombing/Explosion,Private Citizens & Property,76,House/Apartment/Residence,,House,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Unknown,Unknown,Bombing/Explosion,Transportation,99,Bus (excluding tourists),,Bus,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Sindh,Karachi,Bombing/Explosion,Airports & Aircraft,43,Airline Officer/Personnel,,Airline office (Pan Am),United States,Explosives/Bombs/Dynamite,Unknown Explosive Type
Sindh,Karachi,Bombing/Explosion,Airports & Aircraft,43,Airline Officer/Personnel,,airline offices,Saudi Arabia,Explosives/Bombs/Dynamite,Unknown Explosive Type
Sindh,Karachi,Bombing/Explosion,Airports & Aircraft,43,Airline Officer/Personnel,,airline offices,Saudi Arabia,Explosives/Bombs/Dynamite,Unknown Explosive Type
Sindh,Karachi,Bombing/Explosion,Airports & Aircraft,43,Airline Officer/Personnel,,airline offices,Saudi Arabia,Explosives/Bombs/Dynamite,Unknown Explosive Type
North-West Frontier Province,Peshawar,Bombing/Explosion,Private Citizens & Property,76,House/Apartment/Residence,,Home,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Unknown,Unknown,Armed Assault,Government (Diplomatic),46,Embassy/Consulate,,Consulate,United States,Firearms,Automatic Weapon
North-West Frontier Province,Peshawar,Bombing/Explosion,Private Citizens & Property,74,Marketplace/Plaza/Square,,Jissa Khawani Bazaar,Pakistan,Explosives/Bombs/Dynamite,Vehicle
North-West Frontier Province,Pabbi,Bombing/Explosion,Transportation,100,Train/Train Tracks/Trolley,,Khyber Mail express train,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
North-West Frontier Province,Peshawar,Bombing/Explosion,Business,11,Entertainment/Cultural/Stadium/Casino,,Movie House,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Balochistan,Kanak,Bombing/Explosion,Utilities,107,Electricity,,Power grid station,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
North-West Frontier Province,Peshawar,Bombing/Explosion,Business,8,Hotel/Resort,,Hotel,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Federally Administered Tribal Areas,Tari Mengal,Bombing/Explosion,Business,8,Hotel/Resort,,Refugee Hotel,Afghanistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Federally Administered Tribal Areas,Kurram district,Bombing/Explosion,Private Citizens & Property,73,Vehicles/Transportation,,pick-up truck carrying Afghan refugees,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Sindh,Karachi,Hijacking,Airports & Aircraft,42,Aircraft (not at an airport),Pan American World Airways Flight 073,,United States,Firearms,Automatic Weapon
Islamabad Capital Territory,Islamabad,Assassination,Airports & Aircraft,44,Airport,,Capital airport,.,Firearms,Automatic Weapon
Sindh,Karachi,Assassination,Military,34,"Military Personnel (soldiers, troops, officers, forces)",,Residence of Capt. Mohammed Wali Wiend,Pakistan,Unknown,.
Islamabad Capital Territory,Islamabad,Bombing/Explosion,Government (General),,.,,Near Pakistan's border,.,Explosives/Bombs/Dynamite,Vehicle
Sindh,Karachi,Hostage Taking (Kidnapping),Government (General),17,Head of State,,Benazir Bhutlo,Pakistan,Firearms,Automatic Weapon
Sindh,Karachi,Hostage Taking (Kidnapping),Government (General),17,Head of State,,Benazir Bhutlo,Pakistan,Firearms,Automatic Weapon
Sindh,Karachi,Hostage Taking (Kidnapping),Government (General),17,Head of State,,Benazir Bhutlo,Pakistan,Firearms,Automatic Weapon
Islamabad Capital Territory,Islamabad,Facility/Infrastructure Attack,Utilities,106,Gas,,Gas Pipeline 15 mi from city,Pakistan,Explosives/Bombs/Dynamite,.
Islamabad Capital Territory,Islamabad,Facility/Infrastructure Attack,Utilities,106,Gas,,Gas Pipeline 15 mi from city,Pakistan,Explosives/Bombs/Dynamite,.
Balochistan,Qila Abdullah district,Unknown,Transportation,100,Train/Train Tracks/Trolley,Railway Tracks,,Pakistan,Unknown,.
Balochistan,Quetta,Unknown,Business,8,Hotel/Resort,,Quetta Hotel,Pakistan,Unknown,.
Balochistan,Quetta,Unknown,Business,8,Hotel/Resort,,Quetta Hotel,Pakistan,Unknown,.
North-West Frontier Province,Peshawar,Bombing/Explosion,Private Citizens & Property,73,Vehicles/Transportation,Garhi Lamas Din,Truck,.,Explosives/Bombs/Dynamite,Vehicle
Islamabad Capital Territory,Islamabad,Bombing/Explosion,Government (General),15,Politician or Political Party Movement/Meeting/Rally,Moslem fundamentalist Ahle Hadith party,Allama Ihsan Elahi Zaheer,.,Explosives/Bombs/Dynamite,Unknown Explosive Type
Punjab,Rawalpindi,Bombing/Explosion,Private Citizens & Property,74,Marketplace/Plaza/Square,Commercial,Kashmiri Bazaar,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
North-West Frontier Province,Peshawar,Bombing/Explosion,Transportation,100,Train/Train Tracks/Trolley,RR Company,Railroad Track,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Federally Administered Tribal Areas,Naurakh,Bombing/Explosion,Private Citizens & Property,79,"Public Area (garden, parking lot, garage, beach, public building, camp)",Local Govt,Street,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Federally Administered Tribal Areas,Miran Shah,Bombing/Explosion,Government (General),21,Government Building/Facility/Office,Govt,Afghan Refugee Office,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Federally Administered Tribal Areas,Miran Shah,Bombing/Explosion,Religious Figures/Institutions,86,Place of Worship,Church,Mosque,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
North-West Frontier Province,Peshawar,Bombing/Explosion,Transportation,101,Bus Station/Stop,Bus Company,Bus Terminal,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Punjab,Rawalpindi,Bombing/Explosion,Transportation,101,Bus Station/Stop,Transport,Bus Station,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Punjab,Rawalpindi,Bombing/Explosion,Private Citizens & Property,74,Marketplace/Plaza/Square,Commercial,Raja Bazaar,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
North-West Frontier Province,Peshawar,Bombing/Explosion,Business,11,Entertainment/Cultural/Stadium/Casino,Theater,Movie House,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Balochistan,Quetta,Bombing/Explosion,Government (Diplomatic),46,Embassy/Consulate,US State Dept,US Aid Office,United States,Explosives/Bombs/Dynamite,Unknown Explosive Type
Khyber Pakhtunkhwa,Swat district,Assassination,Government (General),15,Politician or Political Party Movement/Meeting/Rally,Provincial Assembly,Prov. Legislator,Pakistan,Firearms,Handgun
Islamabad Capital Territory,Islamabad,Bombing/Explosion,Business,8,Hotel/Resort,Bus Dom,Hotel,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Punjab,Lahore,Bombing/Explosion,Transportation,100,Train/Train Tracks/Trolley,Railway Co,Train Station,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Punjab,Lahore,Bombing/Explosion,Transportation,101,Bus Station/Stop,Bus Company,Bus Station,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Sindh,Karachi,Bombing/Explosion,Transportation,99,Bus (excluding tourists),Bus,Bus Terminal,Pakistan,Explosives/Bombs/Dynamite,Vehicle
Sindh,Karachi,Bombing/Explosion,Business,8,Hotel/Resort,Bus Dom,Hotel,Pakistan,Explosives/Bombs/Dynamite,Vehicle
North-West Frontier Province,Peshwar,Bombing/Explosion,Other,65,Refugee Camp,Naser Bagh Refugee Camp,Refugee Camp,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
North-West Frontier Province,Peshawar,Bombing/Explosion,Business,3,Bank/Commerce,Bank,Habib Bank,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
North-West Frontier Province,Peshawar,Bombing/Explosion,Private Citizens & Property,74,Marketplace/Plaza/Square,Bus Dom,Miramshah Market,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
North-West Frontier Province,Peshawar,Bombing/Explosion,Police,22,"Police Building (headquarters, station, school)",Police,Police Station,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
North-West Frontier Province,Peshawar,Bombing/Explosion,Private Citizens & Property,74,Marketplace/Plaza/Square,Parang Market,Market,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Sindh,Karachi,Bombing/Explosion,Business,7,Retail/Grocery/Bakery,Bus Dom,Store,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
North-West Frontier Province,Peshawar,Bombing/Explosion,Business,2,Restaurant/Bar/Café,Bus Dom,Tea Stand,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Islamabad Capital Territory,Islamabad,Bombing/Explosion,Private Citizens & Property,74,Marketplace/Plaza/Square,Bus Dom,Shopping Area,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Islamabad Capital Territory,Islamabad,Bombing/Explosion,Transportation,101,Bus Station/Stop,Bus Co,Bus Station,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
North-West Frontier Province,Mardan,Bombing/Explosion,Private Citizens & Property,74,Marketplace/Plaza/Square,Government,Sports Stadium,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
North-West Frontier Province,Mardan,Bombing/Explosion,Transportation,101,Bus Station/Stop,Bus Co,Bus Station,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
North-West Frontier Province,Peshawar,Bombing/Explosion,Private Citizens & Property,74,Marketplace/Plaza/Square,Bus Dom,Shopping Area,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
North-West Frontier Province,Peshawar,Bombing/Explosion,Utilities,107,Electricity,University (Government Run),Electrical Transformer,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
North-West Frontier Province,Dera Ismail Khan,Bombing/Explosion,Transportation,101,Bus Station/Stop,Bus Co,Bus Station,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Islamabad Capital Territory,Islamabad,Bombing/Explosion,Private Citizens & Property,79,"Public Area (garden, parking lot, garage, beach, public building, camp)",Government,Street,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Punjab,Lahore,Bombing/Explosion,Business,7,Retail/Grocery/Bakery,Fruit Market,Fruit Market,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
North-West Frontier Province,Peshawar,Bombing/Explosion,Private Citizens & Property,79,"Public Area (garden, parking lot, garage, beach, public building, camp)",Government,Street,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Punjab,Rawalpindi,Bombing/Explosion,Transportation,101,Bus Station/Stop,Bus Co,Bus Station,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Punjab,Rawalpindi,Unknown,Transportation,101,Bus Station/Stop,Bus Co,Bus Stop,Pakistan,Unknown,.
Islamabad Capital Territory,Islamabad,Unknown,Private Citizens & Property,74,Marketplace/Plaza/Square,Bus Dom,Vegetable Market,Pakistan,Unknown,.
North-West Frontier Province,Peshawar,Bombing/Explosion,Transportation,101,Bus Station/Stop,Bus Co,Bus Station,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Islamabad Capital Territory,Islamabad,Bombing/Explosion,Government (Diplomatic),46,Embassy/Consulate,Iranian Government,Iranian Cultural Center,Iran,Explosives/Bombs/Dynamite,Unknown Explosive Type
North-West Frontier Province,Peshawar,Bombing/Explosion,Private Citizens & Property,74,Marketplace/Plaza/Square,Local Business,Vegetable Market,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Balochistan,Quetta,Bombing/Explosion,Business,8,Hotel/Resort,Bloom Star,Hotel,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Punjab,Rawalpindi,Bombing/Explosion,Business,8,Hotel/Resort,Maqbool Hotel,Maqbool Hotel,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
North-West Frontier Province,Peshawar,Bombing/Explosion,Transportation,99,Bus (excluding tourists),Bus Co,Bus,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Balochistan,Unknown,Bombing/Explosion,Transportation,100,Train/Train Tracks/Trolley,Railway,Railway Station,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
North-West Frontier Province,Peshawar,Bombing/Explosion,Private Citizens & Property,74,Marketplace/Plaza/Square,Meena Bazaar,Bazaar,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Balochistan,Quetta,Bombing/Explosion,Government (General),19,Election-related,Government Polling Station,Polling Booth,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Sindh,Karachi,Armed Assault,Government (General),19,Election-related,Polling (Voting),Polling Station (Station),Pakistan,Firearms,Handgun
North-West Frontier Province,Peshawar,Bombing/Explosion,Government (General),14,Judge/Attorney/Court,Government,Court Building,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
North-West Frontier Province,Chamkani,Bombing/Explosion,Transportation,100,Train/Train Tracks/Trolley,Rail Line,Rail Line,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Islamabad Capital Territory,Islamabad,Bombing/Explosion,Business,7,Retail/Grocery/Bakery,Bus Dom,Shalimar Supermarket,Pakistan,Explosives/Bombs/Dynamite,Vehicle
Islamabad Capital Territory,Islamabad,Bombing/Explosion,Business,7,Retail/Grocery/Bakery,Bus Dom,Shalimar-8 Market,Pakistan,Explosives/Bombs/Dynamite,Vehicle
Unknown,Unknown,Bombing/Explosion,Private Citizens & Property,74,Marketplace/Plaza/Square,Bus Dom.,Bazaar,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
North-West Frontier Province,Mingora,Bombing/Explosion,Transportation,99,Bus (excluding tourists),Bus Co.,Bus,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Punjab,Jahangir Kalan,Assassination,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Military,Former Military Person,India,Unknown,.
Sindh,Karachi,Bombing/Explosion,Private Citizens & Property,74,Marketplace/Plaza/Square,,Market,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Federally Administered Tribal Areas,Parachinar District,Bombing/Explosion,Transportation,99,Bus (excluding tourists),Bus Co.,Bus,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
North-West Frontier Province,Peshawar,Assassination,Private Citizens & Property,81,Museum/Cultural Center/Cultural House,Afghan Info Center,Prof Syed Majrooh,Afghanistan,Firearms,Handgun
North-West Frontier Province,Peshawar,Bombing/Explosion,Business,8,Hotel/Resort,Bus Dom.,Hotel,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
North-West Frontier Province,Thal,Bombing/Explosion,Private Citizens & Property,74,Marketplace/Plaza/Square,,Bazaar,Pakistan,Explosives/Bombs/Dynamite,Vehicle
North-West Frontier Province,Peshawar,Bombing/Explosion,Private Citizens & Property,73,Vehicles/Transportation,Govt.,Circuit House,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
North-West Frontier Province,Peshawar,Bombing/Explosion,Private Citizens & Property,76,House/Apartment/Residence,Guest House,Guest House,Pakistan,Unknown,.
Balochistan,Quetta,Hijacking,Airports & Aircraft,42,Aircraft (not at an airport),Pakistan International Airline,Aircraft (airbus a-300),Pakistan,Firearms,Handgun
Punjab,Rawalpindi,Bombing/Explosion,Transportation,101,Bus Station/Stop,Bus Co.,Koh Gadai Bus Station,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Federally Administered Tribal Areas,Sadda,Bombing/Explosion,Private Citizens & Property,74,Marketplace/Plaza/Square,Sadda Tribal Bazaar,Bazaar,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
North-West Frontier Province,Peshawar,Bombing/Explosion,Private Citizens & Property,74,Marketplace/Plaza/Square,Shabqadar Bazaar,Bazaar,Pakistan,Unknown,.
Sindh,Karachi,Bombing/Explosion,Airports & Aircraft,43,Airline Officer/Personnel,Saudi Arabian Ainlings,Office,Saudi Arabia,Explosives/Bombs/Dynamite,Unknown Explosive Type
North-West Frontier Province,Peshawar,Bombing/Explosion,Transportation,100,Train/Train Tracks/Trolley,Railway Co.,Train,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
North-West Frontier Province,Charsadda,Bombing/Explosion,Transportation,101,Bus Station/Stop,Bus Co.,Bus Station,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
North-West Frontier Province,Peshawar,Bombing/Explosion,Private Citizens & Property,74,Marketplace/Plaza/Square,Marketplace,Marketplace,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
North-West Frontier Province,Charsadda,Assassination,Private Citizens & Property,67,Unnamed Civilian/Unspecified,,2 children,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
North-West Frontier Province,Peshawar,Bombing/Explosion,Transportation,100,Train/Train Tracks/Trolley,Railway Co.,Railway Crossing,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Sindh,Karachi,Bombing/Explosion,Government (General),18,"Government Personnel (excluding police, military)",Govt,"Home, Mayor Aftab Ahmad Sheikh",Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
North-West Frontier Province,Peshawar,Bombing/Explosion,Business,8,Hotel/Resort,Bus Dom.,Prince Hotel,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
North-West Frontier Province,Peshawar,Bombing/Explosion,Transportation,99,Bus (excluding tourists),Bus Co.,Bus Station,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
North-West Frontier Province,Peshawar,Bombing/Explosion,Military,27,Military Barracks/Base/Headquarters/Checkpost,Army,Army Officers Mess,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
North-West Frontier Province,Peshawar,Assassination,Religious Figures/Institutions,85,Religious Figure,Pro-Iranian Leader (clergyman),Allama Arif al-Hussaini,Pakistan,Firearms,Handgun
Punjab,Tutianwala,Bombing/Explosion,Private Citizens & Property,74,Marketplace/Plaza/Square,Market,Market,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
North-West Frontier Province,Dera Ismail Khan,Bombing/Explosion,Private Citizens & Property,79,"Public Area (garden, parking lot, garage, beach, public building, camp)",Govt,Street,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Punjab,Bahawalpur,Assassination,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Pak Air Force,President Zia,Pakistan,Unknown,.
Punjab,Attock,Bombing/Explosion,Transportation,100,Train/Train Tracks/Trolley,Railway,Khyber Mail Train,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Sindh,Karachi,Bombing/Explosion,Transportation,100,Train/Train Tracks/Trolley,Railway Co.,Karachi Railway Station,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
North-West Frontier Province,Peshawar,Bombing/Explosion,Private Citizens & Property,79,"Public Area (garden, parking lot, garage, beach, public building, camp)",Govt,Street,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
North-West Frontier Province,Peshawar,Bombing/Explosion,Private Citizens & Property,74,Marketplace/Plaza/Square,Bus Dom.,Kissa Khwani Bazaar,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Punjab,Taxila,Bombing/Explosion,Transportation,101,Bus Station/Stop,Busco,Bus Stop,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
North-West Frontier Province,Charsadda,Bombing/Explosion,Private Citizens & Property,75,Village/City/Town/Suburb,,Town Bazaar,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
North-West Frontier Province,Charsadda,Bombing/Explosion,Business,8,Hotel/Resort,,Hotel,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
